station_name,line_name,transport_mode,operator_name,is_step_free_street_to_train,sequence_number,direction_name
Harrow & Wealdstone Underground Station,Bakerloo,tube,Transport for London,False,1,inbound
Kenton Underground Station,Bakerloo,tube,Transport for London,False,2,inbound
South Kenton Underground Station,Bakerloo,tube,Transport for London,False,3,inbound
North Wembley Underground Station,Bakerloo,tube,Transport for London,False,4,inbound
Wembley Central Underground Station,Bakerloo,tube,Transport for London,False,5,inbound
Stonebridge Park Underground Station,Bakerloo,tube,Transport for London,False,6,inbound
Harlesden Underground Station,Bakerloo,tube,Transport for London,False,7,inbound
Willesden Junction Underground Station,Bakerloo,tube,Transport for London,False,8,inbound
Kensal Green Underground Station,Bakerloo,tube,Transport for London,False,9,inbound
Queen's Park Underground Station,Bakerloo,tube,Transport for London,False,10,inbound
Kilburn Park Underground Station,Bakerloo,tube,Transport for London,False,11,inbound
Maida Vale Underground Station,Bakerloo,tube,Transport for London,False,12,inbound
Warwick Avenue Underground Station,Bakerloo,tube,Transport for London,False,13,inbound
Paddington Underground Station,Bakerloo,tube,Transport for London,False,14,inbound
Edgware Road (Bakerloo) Underground Station,Bakerloo,tube,Transport for London,False,15,inbound
Marylebone Underground Station,Bakerloo,tube,Transport for London,False,16,inbound
Baker Street Underground Station,Bakerloo,tube,Transport for London,False,17,inbound
Regent's Park Underground Station,Bakerloo,tube,Transport for London,False,18,inbound
Oxford Circus Underground Station,Bakerloo,tube,Transport for London,False,19,inbound
Piccadilly Circus Underground Station,Bakerloo,tube,Transport for London,False,20,inbound
Charing Cross Underground Station,Bakerloo,tube,Transport for London,False,21,inbound
Embankment Underground Station,Bakerloo,tube,Transport for London,False,22,inbound
Waterloo Underground Station,Bakerloo,tube,Transport for London,False,23,inbound
Lambeth North Underground Station,Bakerloo,tube,Transport for London,False,24,inbound
Elephant & Castle Underground Station,Bakerloo,tube,Transport for London,False,25,inbound
Elephant & Castle Underground Station,Bakerloo,tube,Transport for London,False,1,outbound
Lambeth North Underground Station,Bakerloo,tube,Transport for London,False,2,outbound
Waterloo Underground Station,Bakerloo,tube,Transport for London,False,3,outbound
Embankment Underground Station,Bakerloo,tube,Transport for London,False,4,outbound
Charing Cross Underground Station,Bakerloo,tube,Transport for London,False,5,outbound
Piccadilly Circus Underground Station,Bakerloo,tube,Transport for London,False,6,outbound
Oxford Circus Underground Station,Bakerloo,tube,Transport for London,False,7,outbound
Regent's Park Underground Station,Bakerloo,tube,Transport for London,False,8,outbound
Baker Street Underground Station,Bakerloo,tube,Transport for London,False,9,outbound
Marylebone Underground Station,Bakerloo,tube,Transport for London,False,10,outbound
Edgware Road (Bakerloo) Underground Station,Bakerloo,tube,Transport for London,False,11,outbound
Paddington Underground Station,Bakerloo,tube,Transport for London,False,12,outbound
Warwick Avenue Underground Station,Bakerloo,tube,Transport for London,False,13,outbound
Maida Vale Underground Station,Bakerloo,tube,Transport for London,False,14,outbound
Kilburn Park Underground Station,Bakerloo,tube,Transport for London,False,15,outbound
Queen's Park Underground Station,Bakerloo,tube,Transport for London,False,16,outbound
Kensal Green Underground Station,Bakerloo,tube,Transport for London,False,17,outbound
Willesden Junction Underground Station,Bakerloo,tube,Transport for London,False,18,outbound
Harlesden Underground Station,Bakerloo,tube,Transport for London,False,19,outbound
Stonebridge Park Underground Station,Bakerloo,tube,Transport for London,False,20,outbound
Wembley Central Underground Station,Bakerloo,tube,Transport for London,False,21,outbound
North Wembley Underground Station,Bakerloo,tube,Transport for London,False,22,outbound
South Kenton Underground Station,Bakerloo,tube,Transport for London,False,23,outbound
Kenton Underground Station,Bakerloo,tube,Transport for London,False,24,outbound
Harrow & Wealdstone Underground Station,Bakerloo,tube,Transport for London,False,25,outbound
Epping Underground Station,Central,tube,Transport for London,False,1,inbound
Theydon Bois Underground Station,Central,tube,Transport for London,False,2,inbound
Debden Underground Station,Central,tube,Transport for London,False,3,inbound
Loughton Underground Station,Central,tube,Transport for London,False,4,inbound
Buckhurst Hill Underground Station,Central,tube,Transport for London,False,5,inbound
Woodford Underground Station,Central,tube,Transport for London,False,6,inbound
Woodford Underground Station,Central,tube,Transport for London,False,1,inbound
South Woodford Underground Station,Central,tube,Transport for London,False,2,inbound
Snaresbrook Underground Station,Central,tube,Transport for London,False,3,inbound
Leytonstone Underground Station,Central,tube,Transport for London,False,4,inbound
Leytonstone Underground Station,Central,tube,Transport for London,False,1,inbound
Leyton Underground Station,Central,tube,Transport for London,False,2,inbound
Stratford Underground Station,Central,tube,Transport for London,False,3,inbound
Mile End Underground Station,Central,tube,Transport for London,False,4,inbound
Bethnal Green Underground Station,Central,tube,Transport for London,False,5,inbound
Liverpool Street Underground Station,Central,tube,Transport for London,False,6,inbound
Bank Underground Station,Central,tube,Transport for London,False,7,inbound
St. Paul's Underground Station,Central,tube,Transport for London,False,8,inbound
Chancery Lane Underground Station,Central,tube,Transport for London,False,9,inbound
Holborn Underground Station,Central,tube,Transport for London,False,10,inbound
Tottenham Court Road Underground Station,Central,tube,Transport for London,False,11,inbound
Oxford Circus Underground Station,Central,tube,Transport for London,False,12,inbound
Bond Street Underground Station,Central,tube,Transport for London,False,13,inbound
Marble Arch Underground Station,Central,tube,Transport for London,False,14,inbound
Lancaster Gate Underground Station,Central,tube,Transport for London,False,15,inbound
Queensway Underground Station,Central,tube,Transport for London,False,16,inbound
Notting Hill Gate Underground Station,Central,tube,Transport for London,False,17,inbound
Holland Park Underground Station,Central,tube,Transport for London,False,18,inbound
Shepherd's Bush (Central) Underground Station,Central,tube,Transport for London,False,19,inbound
White City Underground Station,Central,tube,Transport for London,False,20,inbound
