naptan_id,station_name,modes,zone,lat,lon
0400ZZLUAMS0,Amersham,tube,9,51.674206,-0.607362
0400ZZLUCAL0,Chalfont & Latimer,tube,8,51.667915,-0.560616
0400ZZLUCSM0,Chesham,tube,9,51.705227,-0.611113
2100ZZLUCXY0,Croxley,tube,7,51.647069,-0.441746
2100ZZLUCYD0,Chorleywood,tube,7,51.654292,-0.518319
2100ZZLUMPK0,Moor Park,tube,6,51.629693,-0.432704
2100ZZLURKW0,Rickmansworth,tube,7,51.640385,-0.473654
2100ZZLUWAF0,Watford,tube,7,51.657531,-0.417157
4900ZZLUACT1,Acton Town Station,tube,3,51.50301,-0.28042
4900ZZLUACY1,Archway Station,tube,2,51.56568,-0.13493
4900ZZLUADE1,Aldgate East Station,tube,1,51.5153,-0.07208
4900ZZLUAGL1,Angel Station,tube,1,51.53184,-0.10635
4900ZZLUALD1,Aldgate Station,tube,1,51.51405,-0.07528
4900ZZLUALP1,Alperton Station,tube,4,51.54063,-0.29913
4900ZZLUASG1,Arnos Grove Station,tube,4,51.61606,-0.1334
4900ZZLUASL1,Arsenal,tube,2,51.5584,-0.10568
4900ZZLUBBB1,Bromley By Bow Station,tube,2,51.52473,-0.01144
4900ZZLUBBN1,Barbican Station,tube,1,51.52031,-0.09753
4900ZZLUBDS1,Bounds Green Station,tube,3,51.60693,-0.12456
4900ZZLUBEC1,Becontree Station,tube,5,51.5404,0.12751
4900ZZLUBKE1,Barkingside Station,tube,4,51.58582,0.08836
4900ZZLUBLG1,Bethnal Green Station,tube,2,51.52732,-0.05527
4900ZZLUBLM1,Balham Station  / Balham Station Road,tube,3,51.44323,-0.15294
4900ZZLUBLM2,Balham Station,tube,3,51.44328,-0.15307
4900ZZLUBMY1,Bermondsey Station,tube,2,51.49814,-0.06363
4900ZZLUBND1,Bond Street Station,"elizabeth-line, tube",1,51.51452,-0.14914
4900ZZLUBOR1,Borough Station,tube,1,51.50123,-0.0934
4900ZZLUBOS1,Boston Manor Station,tube,4,51.49585,-0.32446
4900ZZLUBSC1,Barons Court,tube,2,51.49037,-0.21355
4900ZZLUBST1,Baker Street Station,tube,1,51.52246,-0.15695
4900ZZLUBTK1,Burnt Oak Station,tube,4,51.60259,-0.26398
4900ZZLUBTX1,Brent Cross Station,tube,3,51.57707,-0.21336
4900ZZLUBWR1,Bow Road Station,tube,2,51.52712,-0.02501
4900ZZLUBWT1,Bayswater Station,tube,1,51.51239,-0.18769
4900ZZLUBXN1,Brixton Station,tube,2,51.46265,-0.11496
4900ZZLUBZP1,Belsize Park Station,tube,2,51.55041,-0.16447
4900ZZLUCAR1,Caledonian Road Station,tube,2,51.54857,-0.11812
4900ZZLUCFM1,Chalk Farm Station,tube,2,51.54395,-0.15351
4900ZZLUCGN1,Covent Garden Station,tube,1,51.51307,-0.12423
4900ZZLUCHL1,Chancery Lane Station,tube,1,51.51811,-0.1115
4900ZZLUCHX1,Charing Cross Stn  / Trafalgar Square,tube,1,51.50824,-0.12512
4900ZZLUCHX2,Charing Cross Station,tube,1,51.50857,-0.12469
4900ZZLUCKS1,Cockfosters Station,tube,5,51.65186,-0.14975
4900ZZLUCND1,Colindale Station,tube,4,51.59533,-0.24992
4900ZZLUCPC1,Clapham Common Station,tube,2,51.46181,-0.13847
4900ZZLUCPK1,Canons Park Station,tube,5,51.60756,-0.29444
4900ZZLUCPN1,Clapham North Station,tube,2,51.46518,-0.12955
4900ZZLUCPS1,Clapham South Station,tube,2,51.4529,-0.14767
4900ZZLUCSD1,Colliers Wood Station,tube,3,51.41805,-0.17819
4900ZZLUCST,Cannon Street Station,tube,1,51.51127,-0.09028
4900ZZLUCTN1,Camden Town Station,tube,2,51.5393,-0.14249
4900ZZLUCWP1,Chiswick Park,tube,3,51.49436,-0.26739
4900ZZLUCYF1,Canary Wharf Station,tube,2,51.50352,-0.02
4900ZZLUDGE1,Dagenham East Station,tube,5,51.54423,0.16601
4900ZZLUDGY1,Dagenham Heathway Station,tube,5,51.54176,0.14778
4900ZZLUDOH1,Dollis Hill Station,tube,3,51.5525,-0.23876
4900ZZLUEAC1,Elephant & Castle Station,tube,1,51.49573,-0.10083
4900ZZLUEAE1,Eastcote Station,tube,5,51.57645,-0.39725
4900ZZLUEAN1,East Acton Station,tube,2,51.51659,-0.24749
4900ZZLUECM1,Ealing Common Station,tube,3,51.51032,-0.28817
4900ZZLUECT1,Earl's Court Station,tube,1,51.4922,-0.19319
4900ZZLUECT2,Earls Court Station,tube,1,51.49029,-0.19578
4900ZZLUEFY1,East Finchley Station,tube,3,51.58704,-0.16428
4900ZZLUEGW1,Edgware Bus Station,tube,5,51.61366,-0.27582
4900ZZLUEGW2,Edgware Station,tube,5,51.61343,-0.27582
4900ZZLUEHM1,East Ham Station,tube,3,51.53929,0.05127
4900ZZLUEMB1,Embankment Station,tube,1,51.50738,-0.12257
4900ZZLUEPK1,Elm Park Station,tube,6,51.54992,0.19922
4900ZZLUEPY1,East Putney Station,tube,2,51.45916,-0.21074
4900ZZLUERB1,Edgware Road Station  / Bakerloo Line,tube,1,51.52021,-0.17027
4900ZZLUERC1,Edgware Road Station,tube,1,51.51967,-0.16803
4900ZZLUESQ1,Euston Square Station,tube,1,51.52581,-0.13575
4900ZZLUFBY1,Fulham Broadway Station,tube,2,51.4801,-0.19541
4900ZZLUFCN1,Farringdon Station,"elizabeth-line, tube",1,51.5201,-0.1047
4900ZZLUFLP1,Fairlop Station,tube,4,51.59557,0.09071
4900ZZLUFPK1,Finsbury Park Station,tube,2,51.56521,-0.10779
4900ZZLUFYC1,Finchley Central Station,tube,4,51.60109,-0.19235
4900ZZLUFYC2,Finchley Central,tube,4,51.60061,-0.19294
4900ZZLUFYR1,Finchley Road Station,tube,2,51.54688,-0.17976
4900ZZLUGDG1,Goodge Street Station,tube,1,51.52067,-0.1345
4900ZZLUGGN1,Golders Green Station,tube,3,51.57253,-0.194
4900ZZLUGHK1,Goldhawk Road Station,tube,2,51.50193,-0.22731
4900ZZLUGPK1,Green Park Station,tube,1,51.50673,-0.14274
4900ZZLUGPS1,Great Portland Street Station,tube,1,51.52388,-0.1439
4900ZZLUGPS2,Great Portland St Stn  / Euston Rd,tube,1,51.52374,-0.1437
4900ZZLUGTH1,Gants Hill Station,tube,4,51.57745,0.06561
4900ZZLUGTR1,Gloucester Road Station,tube,1,51.49433,-0.18258
4900ZZLUHBN1,Holborn Station,tube,1,51.51736,-0.11999
4900ZZLUHBT1,High Barnet Station,tube,5,51.65047,-0.19442
4900ZZLUHCH1,Hornchurch Station,tube,6,51.5541,0.21925
4900ZZLUHCL1,Hendon Central Station,tube,3,51.58298,-0.22694
4900ZZLUHGD1,Hillingdon Station,tube,6,51.55372,-0.44813
4900ZZLUHGR1,Hanger Lane Station,tube,3,51.53013,-0.29275
4900ZZLUHGT1,Highgate Station,tube,3,51.57781,-0.14553
4900ZZLUHNX1,Hatton Cross Station,tube,5,51.46653,-0.42297
4900ZZLUHPC1,Hyde Park Corner,tube,1,51.50493,-0.15203
